10oC	
Cycles	Capacity Mean	Capacity Errorbar	Capacity High Voltage Plateau Mean	Capacity High Voltage Plateau Errorbar	Capacity Low Voltage Plateau Mean	Capacity Low Voltage Plateau Errorbar	Coulombic efficiency Mean	Coulombic efficiency Errorbar
220	0.755199218359417	0.00110700294019928	0.745184931754439	-0.00791329664113649	0.254815068245561	0.00791329664113652	0.686817345086165	0.0130850092590663
240	0.749088385197062	0.00611699946671096	0.755998271261281	-0.0178970267271407	0.244001728738719	0.0178970267271407	0.681287338054271	0.0175300645713119
260	0.738361789275553	0.00957648387201726	0.728503134899063	0.00427888907454088	0.271496865100937	-0.00427888907454094	0.670484374350371	0.00392161458312190
280	0.731559644225382	0.00507036951946305	0.721127697870501	0.00513497122750173	0.278872302129499	-0.00513497122750162	0.664359938008943	0.00787614748525245
300	0.721467840647698	0.000105319417277316	0.714829458961551	0.00329686685341923	0.285170541038449	-0.00329686685341934	0.678213437825999	0.00791002967969745
320	0.703844363979347	0.00226370672581733	0.712706936103611	0.00491183588089406	0.287293063896389	-0.00491183588089400	0.733689096938678	0.00384207513114809
340	0.680252339951370	0.0100036831976522	0.711901175153515	0.00308367686233235	0.288098824846485	-0.00308367686233230	0.778533993485420	0.0138600214771739
360	0.644795302904708	0.0220600786138173	0.695122178870784	0.0151863237627752	0.304877821129216	-0.0151863237627752	0.825580240612169	0.0153382963786873
380	0.501501625786034	0.100058416989333	0.628063131876789	-0.0378366903547285	0.371936868123211	0.0378366903547284	0.876787351988190	0.0207604451855425
400	0.401019060200038	0	0.560906737783356	0	0.439093262216644	0	0.882608223934035	0

40oC	
Cycles	Capacity Mean	Capacity Errorbar	Capacity High Voltage Plateau Mean	Capacity High Voltage Plateau Errorbar	Capacity Low Voltage Plateau Mean	Capacity Low Voltage Plateau Errorbar	Coulombic efficiency Mean	Coulombic efficiency Errorbar
0	1	0	0.723957575580867	0.00470735818256074	0.276042424419133	-0.00470735818256074	1	0
20	0.898754990211727	0.00520326931353987	0.688904331312802	0.00151344521881214	0.311095668687198	-0.00151344521881214	0.900771607724835	0.0248737625532471
40	0.868091307109949	0.0333225870573352	0.705846723521432	-0.00106338080899526	0.294153276478568	0.00106338080899532	0.788968147929073	0.0739841096210120
60	0.822328173062875	0.0365400674601691	0.732547341682745	0.0169544518604995	0.267452658317255	-0.0169544518604994	0.732136478551347	0.0598499661810359
80	0.771799185774319	0.0305132880573665	0.761491621622066	0.0113009428054792	0.238508378377934	-0.0113009428054792	0.650140007846413	0.0157625138320477
100	0.761058711354523	0.0288862144079817	0.753231598667003	0.00462801893854048	0.246768401332997	-0.00462801893854042	0.641116284537165	0.0145201153432301

50oC	
Cycles	Capacity Mean	Capacity Errorbar	Capacity High Voltage Plateau Mean	Capacity High Voltage Plateau Errorbar	Capacity Low Voltage Plateau Mean	Capacity Low Voltage Plateau Errorbar	Coulombic efficiency Mean	Coulombic efficiency Errorbar
0	1	0	0.723066402107129	-0.00365876375950558	0.276933597892872	0.00365876375950563	1	0
20	0.922267707073372	0.0416305346026473	0.714800806633363	-0.000427302525723206	0.285199193366637	0.000427302525723261	0.844340012921573	0.0716309292881200
40	0.798833715804287	0.0520516813774062	0.720424441659655	-0.0294527283370696	0.279575558340345	0.0294527283370696	0.742517748723690	0.0872556438817531
60	0.744070187502560	0.0461156212017678	0.736455197505164	-0.0379347792767167	0.263544802494836	0.0379347792767169	0.699382631725573	0.0872377737823959
80	0.705885001741648	0.0354169062269266	0.752278647721265	-0.0284583095935838	0.247721352278735	0.0284583095935838	0.640475809753588	0.0521404756199346
100	0.699465961583512	0.0451717737949647	0.732456507073910	-0.0215621845148749	0.267543492926090	0.0215621845148749	0.644661702911675	0.0708321710989502
120	0.667518271577715	0.0663014066864075	0.737510390811707	-0.0237284212306039	0.262489609188293	0.0237284212306040	0.606594057985332	0.0790830535835716
140	0.642535652790990	0.0640050630089856	0.721158376062963	-0.0156030656451015	0.278841623937037	0.0156030656451015	0.646140094333299	0.138637093132819
160	0.631863851111430	0.0713722132357457	0.812254505836411	-0.0981207941854089	0.187745494163589	0.0981207941854089	0.758644914107896	0.0328545979814456
180	0.594719951087061	0.0867552952029999	0.728868155019966	-0.0187391404715167	0.271131844980034	0.0187391404715168	0.814118084618646	0.000692714470587053
200	0.567109227807640	0.109409041303222	0.830015134190220	-0.117079054186533	0.169984865809780	0.117079054186533	0.905530796293363	0.0276796558371804
220	0.395623059571427	0.124641312544797	0.704062215390386	-0.0467840946976308	0.295937784609614	0.0467840946976307	0.938929236445744	0.0210620895870003

0.1C/0.2C
