10oC	
Cell1
Cycles	Peak position	Peak height	Peak width
0	2.34190614627846	0.268779286135498	0.113687869857349
20	2.34323407613217	0.308441959558316	0.110597765253542
40	2.33986225832223	0.347398427340321	0.104755102235895
60	2.33851334768009	0.424417869470137	0.106453894312898
80	2.33529927125374	0.438864460164768	0.109089397668538
100	2.33611148395993	0.445013447258630	0.112259238430955
120	2.33652474279553	0.430650108533095	0.113645414525277
140	2.33939744851069	0.412710423549389	0.119323434443094
160	2.34036709698663	0.415567280858900	0.120180580423897
180	2.34193068408540	0.421853558176630	0.122324690107462
200	2.35164770991871	0.427100019510297	0.130835477692398
220	2.36980868721764	0.414998048464916	0.149678619140097

Cell2
Cycles	Peak position	Peak height	Peak width
0	2.34290568434996	0.307559160524236	0.111998177066807
20	2.33770029382689	0.402500514467250	0.102886656555967
40	2.33183322515910	0.444563919548491	0.102839499404271
60	2.33233493942232	0.509848745735003	0.105510210397729
80	2.33113119259770	0.514828549903273	0.107246464953163
100	2.33368679859110	0.548746481636308	0.109921450139382
120	2.33379997085244	0.593508305440105	0.112584407923275
140	2.33331740554274	0.635446347274148	0.116798610062606
160	2.33618037063947	0.688015898055526	0.118623125420946
180	2.33746853981075	0.726513103180056	0.122482412581877
200	2.34695752189287	0.730204509395290	0.126996492870042
220	2.38341548206331	0.681415237774276	0.195130055351424

0.1C/0.2C
Cell1
Cycles	Peak position	Peak height	Peak width
0	2.34654938262848	0.267337396193772	0.123468037251197
20	2.33875598924909	0.356770419099326	0.116929380796287
40	2.33649333980556	0.368477838806748	0.122281059275483
60	2.33545544688940	0.379693706850486	0.125366079182506
80	2.33513300873191	0.377217703224349	0.130870043226378
100	2.33295438810098	0.374008985279149	0.131796852175491
120	2.33214953774234	0.386422766119859	0.130367945087830
140	2.33040295970550	0.408490358789335	0.128765030218894
160	2.33062113031846	0.407661798668623	0.128894835289312
180	2.33149240143268	0.414236688850848	0.127853628976170
200	2.33048663057895	0.430523813238138	0.127983767434044
220	2.32952448996061	0.396567632994431	0.133656791367858
240	2.32493161574526	0.389237839890842	0.131230567617698
260	2.33550360455319	0.375368835072702	0.137200207295696
280	2.33849598674072	0.368812937694348	0.136068676340908
300	2.34106260734206	0.375920302882670	0.131137611182460
320	2.34279970157192	0.381395894247199	0.130374223073885
340	2.34416447958407	0.383680755165394	0.131319189202222
360	2.34675202807694	0.376836630504251	0.135310965172719
380	2.35204189245684	0.376073225783679	0.138853206041449
400	2.35933603624511	0.457599917578417	0.135611733756562

Cell2
Cycles	Peak position	Peak height	Peak width
0	2.34569909369133	0.297053333380520	0.114830001603416
20	2.33702506394522	0.368327642430230	0.115621272093665
40	2.33860381250906	0.395376023761248	0.116762190932956
60	2.33842233381602	0.399099535828956	0.120049080794541
80	2.33704903915234	0.399686464800494	0.121347815455739
100	2.33556449316346	0.406372039111922	0.120875773190663
120	2.33598958300598	0.417963770271015	0.117205743317187
140	2.33574088649301	0.436785161722169	0.116095224477170
160	2.33493085707867	0.452113584720096	0.116281783092641
180	2.33338552761894	0.469348465047397	0.118961646635066
200	2.33252837397879	0.460563713021003	0.124168214515817
220	2.33204721292231	0.443810034869477	0.128449627424408
240	2.33074586354839	0.437008238627337	0.135170121993464
260	2.33294212561922	0.419100808867507	0.140212648035270
280	2.33303471924276	0.406616539543600	0.147887629055570
300	2.33540690490404	0.396528688147254	0.150481569788497
320	2.33924678589188	0.391370110431715	0.150773435595455
340	2.34290359083524	0.392321576357318	0.153319617526580
360	2.34735737913678	0.385043462959780	0.155896103058359
380	2.36642253675979	0.456634549790398	0.173305977969881

0.1C/0.5C
