10oC	
Cycles	Resistance 10% DOD Mean	Resistance 10% Errorbar	Resistance 70% DOD Mean	Resistance 70% DOD Errorbar
0	39.6500000000000	3.55000000000000	45.9500000000000	2.95000000000000
20	26.9500000000000	1.75000000000000	50.6000000000000	3.80000000000000
40	28.1000000000000	1.80000000000000	58.5500000000000	2.65000000000000
60	28.6000000000000	4.00000000000000	48.0500000000000	6.95000000000000
80	30.2000000000000	2.90000000000000	48.2500000000000	4.05000000000000
100	29.6500000000000	2.15000000000000	52.5500000000000	2.45000000000000
120	31.7000000000000	2.40000000000000	53.4000000000000	5.09999999999999
140	32.1500000000000	0.549999999999997	68.9500000000000	0.250000000000000
160	35.1500000000000	1.35000000000000	72.5000000000000	0.400000000000006
180	39.1500000000000	0.0499999999999972	75.7500000000000	1.85000000000001
200	47.2500000000000	1.15000000000000	90.8000000000000	4.09999999999999
220	77.4000000000000	2.90000000000001	146.400000000000	9.30000000000001
