Voltage [V]	Capacity [-]	dQ/dV [V/Ah]
2.215300	0.289207	0.034061
2.215300	0.290091	0.033895
2.215500	0.290974	0.035263
2.215500	0.291857	0.033445
2.215700	0.292772	0.035263
2.215700	0.293656	0.033895
2.215900	0.294539	0.034061
2.215900	0.295422	0.032282
2.216100	0.296337	0.031924
2.216100	0.297221	0.031704
2.216300	0.298104	0.031588
2.216300	0.299019	0.031577
2.216300	0.299902	0.031704
2.216500	0.300786	0.031935
2.216500	0.301700	0.032282
2.216700	0.302584	0.032732
2.216700	0.303467	0.033322
2.216900	0.304351	0.035333
2.216900	0.305265	0.035410
2.217100	0.306149	0.036997
2.217100	0.307032	0.035410
2.217300	0.307947	0.035333
2.217300	0.308830	0.033310
2.217500	0.309714	0.032744
2.217500	0.310597	0.032282
2.217700	0.311512	0.031924
2.217700	0.312395	0.031704
2.217900	0.313279	0.031588
2.217900	0.314194	0.031588
2.217900	0.315077	0.031693
2.218100	0.315961	0.031935
2.218100	0.316875	0.032282
2.218300	0.317759	0.032744
2.218300	0.318642	0.033322
2.218500	0.319526	0.035333
2.218500	0.320440	0.035410
2.218700	0.321324	0.036984
2.218700	0.322207	0.034751
2.218900	0.323122	0.034381
2.218900	0.324005	0.032393
2.219100	0.324889	0.032809
2.219100	0.325772	0.033214
2.219300	0.326687	0.033618
2.219300	0.327570	0.035328
2.219500	0.328454	0.035013
2.219500	0.329369	0.036080
2.219500	0.330252	0.033845
2.219700	0.331135	0.035155
2.219700	0.332050	0.033164
2.220000	0.332934	0.034693
2.220000	0.333817	0.032933
2.220200	0.334700	0.034693
2.220200	0.335615	0.033164
2.220400	0.336499	0.035143
2.220400	0.337382	0.033857
2.220400	0.338265	0.033953
2.220600	0.339180	0.032000
2.220600	0.340064	0.031354
2.220800	0.340947	0.033110
2.220800	0.341862	0.033248
2.221000	0.342745	0.035251
2.221000	0.343629	0.033445
2.221200	0.344544	0.035263
2.221200	0.345427	0.033907
2.221400	0.346310	0.034061
2.221400	0.347194	0.032282
2.221600	0.348109	0.031935
2.221600	0.348992	0.031693
2.221800	0.349875	0.031588
2.221800	0.350759	0.031588
2.221800	0.351674	0.031704
2.222000	0.352557	0.033252
2.222000	0.353440	0.032867
2.222200	0.354355	0.033992
2.222200	0.355239	0.033248
2.222400	0.356122	0.034115
2.222400	0.357037	0.033191
2.222600	0.357920	0.032613
2.222600	0.358804	0.031064
2.222800	0.359687	0.029785
