time_s,current_a,soc,voltage_v,temperature_c,heat_w
53.0,3.0,0.935351388888887,4.012042322621198,25.32429855331458,0.40249929830867043
54.0,3.0,0.9350749999999981,4.011312487699796,25.32948686567536,0.40358622290864943
55.0,3.0,0.9347986111111092,4.010589996933247,25.334634283425064,0.40464827619001686
56.0,3.0,0.9345222222222203,4.009874650749673,25.339740751487707,0.40568602726537667
57.0,3.0,0.9342458333333313,4.00916625386032,25.34480622866241,0.4067000322247361
58.0,3.0,0.9339694444444424,4.008464615161172,25.34983068714529,0.4076908344334922
59.0,3.0,0.9336930555555535,4.007769547636872,25.354814112064354,0.4086589648236
60.0,3.0,0.9334166666666646,4.00708086826693,25.359756501027043,0.4096049421780783
61.0,3.0,0.9331402777777756,4.006398397934115,25.364657863680126,0.4105292734090048
62.0,3.0,0.9328638888888867,4.005721961335055,25.36951822128163,0.4114324538291506
63.0,3.0,0.9325874999999978,4.005051386892925,25.374337606284506,0.4123149674173988
64.0,3.0,0.9323111111111089,4.004386506672218,25.37911606193175,0.4131772870780896
65.0,3.0,0.93203472222222,4.003727156295554,25.383853641862668,0.41401987489443115
