chemistry,cell_key,days_passed,temperature,state_of_charge,soh,predicted_soh,lower_soh,upper_soh,covered
LCO,LCO_112_100_60,82,60,100,0.8522116389275036,0.8941711997991955,0.8320710014178803,0.9562713981805107,True
LCO,LCO_112_100_60,120,60,100,0.7902217727108165,0.863725615197748,0.8016254168164328,0.9258258135790632,False
LCO,LCO_115_50_60,0,60,50,1.0,0.997758518664135,0.9356583202828198,1.0598587170454503,True
LCO,LCO_115_50_60,35,60,50,0.9977881075113014,0.9738152058840175,0.9117150075027023,1.0359154042653327,True
LCO,LCO_115_50_60,58,60,50,0.9880543173520793,0.9614294304616192,0.899329232080304,1.0235296288429345,True
LCO,LCO_115_50_60,82,60,50,0.9766362152617429,0.9513364751074072,0.889236276726092,1.0134366734887224,True
LCO,LCO_115_50_60,120,60,50,0.9610992131606321,0.9412696311631318,0.8791694327818166,1.003369829544447,True
LFP,LFP_7_20_60,0,60,20,1.0,1.0154790734798107,0.9533788750984955,1.077579271861126,True
LFP,LFP_7_20_60,39,60,20,0.9822545390045706,1.0017399632773245,0.9396397648960093,1.0638401616586397,True
LFP,LFP_7_20_60,59,60,20,0.9775818616184548,0.9976561201798099,0.9355559217984947,1.0597563185611252,True
LFP,LFP_7_20_60,84,60,20,0.9691261889032192,0.9953751182125773,0.9332749198312621,1.0574753165938926,True
LFP,LFP_7_20_60,120,60,20,0.9556344101087909,0.99760253669766,0.9355023383163448,1.0597027350789752,True
LFP,LFP_83_50_60,0,60,50,1.0,1.0047649452695333,0.9426647468882181,1.0668651436508485,True
LFP,LFP_83_50_60,39,60,50,1.0278863612709115,0.9784768210834202,0.916376622702105,1.0405770194647355,True
LFP,LFP_83_50_60,59,60,50,1.020625353886429,0.9679575861994301,0.9058573878181149,1.0300577845807453,True
LFP,LFP_83_50_60,84,60,50,1.006052351345669,0.9576323444991032,0.895532146117788,1.0197325428804183,True
LFP,LFP_83_50_60,120,60,50,0.9720078699186508,0.9482760577685301,0.8861758593872149,1.0103762561498453,True
LMO,LMO_4_50_50,0,50,50,1.0,1.041678764555346,0.9795785661740308,1.1037789629366612,True
LMO,LMO_4_50_50,92,50,50,0.9866639140267589,1.0063380617955058,0.9442378634141906,1.068438260176821,True
LMO,LMO_4_50_50,152,50,50,0.9767831623295857,1.006181398160697,0.9440811997793819,1.0682815965420123,True
LMO,LMO_5_50_60,0,60,50,1.0,1.0358624655650137,0.9737622671836985,1.097962663946329,True
LMO,LMO_5_50_60,29,60,50,1.0172922191821212,1.0155869726621383,0.9534867742808231,1.0776871710434535,True
LMO,LMO_5_50_60,63,60,50,1.0111097780400222,0.99719222394731,0.9350920255659948,1.059292422328625,True
LMO,LMO_5_50_60,79,60,50,1.00999202305141,0.9905439085209012,0.928443710139586,1.0526441069022163,True
LMO,LMO_5_50_60,120,60,50,1.0036527103159907,0.9793735780640104,0.9172733796826952,1.0414737764453257,True
LMO,LMO_8_100_60,0,60,100,1.0,1.0226723674643838,0.9605721690830686,1.084772565845699,True
LMO,LMO_8_100_60,29,60,100,0.9827902378623949,0.986844677744193,0.9247444793628778,1.0489448761255082,True
LMO,LMO_8_100_60,63,60,100,0.9577714465378393,0.9502163189676844,0.8881161205863692,1.0123165173489996,True
LMO,LMO_8_100_60,79,60,100,0.9330902497958693,0.9349874811593084,0.8728872827779932,0.9970876795406236,True
LMO,LMO_8_100_60,120,60,100,0.8889461703107133,0.9018295620986266,0.8397293637173114,0.9639297604799418,True
LMO,LMO_15_20_60,0,60,20,1.0,1.046576593775291,0.9844763953939759,1.1086767921566063,True
LMO,LMO_15_20_60,29,60,20,1.0153286376715902,1.035632418962805,0.9735322205814898,1.0977326173441202,True
LMO,LMO_15_20_60,63,60,20,1.0026339771424044,1.028177836284985,0.9660776379036697,1.0902780346663001,True
LMO,LMO_15_20_60,79,60,20,1.0067652794373347,1.0266778342877565,0.9645776359064413,1.0887780326690717,True
LMO,LMO_15_20_60,120,60,20,1.0095447856858097,1.0287000569931402,0.966599858611825,1.0908002553744554,True
LMO,LMO_26_50_50,0,50,50,1.0,1.041678764555346,0.9795785661740308,1.1037789629366612,True
LMO,LMO_26_50_50,92,50,50,0.9951164709848361,1.0063380617955058,0.9442378634141906,1.068438260176821,True
LMO,LMO_26_50_50,152,50,50,0.9906819144430327,1.006181398160697,0.9440811997793819,1.0682815965420123,True
LMO,LMO_37_100_50,0,50,100,1.0,1.0404507795157842,0.978350581134469,1.1025509778970994,True
LMO,LMO_37_100_50,92,50,100,0.9725625468549423,0.9557720730596326,0.8936718746783174,1.0178722714409478,True
LMO,LMO_37_100_50,152,50,100,0.9696191681643133,0.9234384504924469,0.8613382521111317,0.9855386488737621,True
LMO,LMO_39_100_60,0,60,100,1.0,1.0226723674643838,0.9605721690830686,1.084772565845699,True
LMO,LMO_39_100_60,29,60,100,0.9785609842107443,0.986844677744193,0.9247444793628778,1.0489448761255082,True
LMO,LMO_39_100_60,63,60,100,0.9915349870250931,0.9502163189676844,0.8881161205863692,1.0123165173489996,True
LMO,LMO_39_100_60,79,60,100,0.9501989419016936,0.9349874811593084,0.8728872827779932,0.9970876795406236,True
LMO,LMO_39_100_60,120,60,100,0.9181715581725894,0.9018295620986266,0.8397293637173114,0.9639297604799418,True
LMO,LMO_41_100_60,0,60,100,1.0,1.0226723674643838,0.9605721690830686,1.084772565845699,True
LMO,LMO_41_100_60,29,60,100,1.0027595232192774,0.986844677744193,0.9247444793628778,1.0489448761255082,True
LMO,LMO_41_100_60,63,60,100,0.9871417000126905,0.9502163189676844,0.8881161205863692,1.0123165173489996,True
LMO,LMO_41_100_60,79,60,100,0.9627527996184708,0.9349874811593084,0.8728872827779932,0.9970876795406236,True
LMO,LMO_41_100_60,120,60,100,0.9273634139753444,0.9018295620986266,0.8397293637173114,0.9639297604799418,True
LTO,LTO_3_20_50,0,50,20,1.0,0.9776370290167345,0.9155368306354194,1.0397372273980499,True
LTO,LTO_3_20_50,99,50,20,0.9981624012576676,0.9732020110588829,0.9111018126775677,1.0353022094401982,True
LTO,LTO_3_20_50,152,50,20,0.9961046171066137,0.9910486401992986,0.9289484418179834,1.0531488385806138,True
LTO,LTO_8_20_60,0,60,20,1.0,0.9789979978630429,0.9168977994817277,1.041098196244358,True
LTO,LTO_8_20_60,31,60,20,0.9876328792150799,0.9674546752343572,0.905354476853042,1.0295548736156723,True
LTO,LTO_8_20_60,64,60,20,0.9745357284088757,0.9604678395558479,0.8983676411745327,1.022568037937163,True
